Feature,Importance
Price_Position,0.04586877050027507
Volume,0.025735560896561212
Volume_Ratio,0.023489446332372182
Volume_SMA_20,0.023372167937539347
BB_Width,0.023339562145933544
BB_Position,0.022840133974410853
Return_Lag_2,0.022494409215464414
Return_Lag_1,0.02243921289818673
Volume_Change,0.02228551157421959
RSI,0.022132977619220888
Return_Lag_3,0.021607087145830504
High_Low_Pct,0.020909222819176593
Rolling_Std_10,0.020792040805285184
Rolling_Std_5,0.020776048651583567
Momentum_5,0.02075559870762622
Price_Change_Pct,0.020680675490734934
Return_Lag_10,0.020600567971170967
Return_Lag_5,0.020516417629777243
Rolling_Std_20,0.020283358157609722
ATR_14,0.020017892771633315
ATR_21,0.019888039071116023
Price_Volume_Trend,0.01980792143690909
MACD_Histogram,0.01895078204149438
Momentum_10,0.01890222948562184
SMA_Cross_5_20,0.01862143378831982
Momentum_20,0.018599451829422752
SMA_Cross_20_50,0.018164004490015265
EMA_Cross,0.017998159127534056
MACD,0.017404572721134045
MACD_Signal,0.01691040728476976
SMA_200,0.01638203164105687
Price_Change,0.014228046133945524
True_Range,0.013727260681812365
BB_Lower,0.013356954452623382
Open_Close_Pct,0.0133456894008744
High_Close,0.013055644160062094
BB_Upper,0.01274982738209174
SMA_50,0.012553398696474214
EMA_50,0.012269153149012684
Low_Close,0.01208402773156459
High_Low,0.011808078142393326
SMA_10,0.010752394641996317
Close_Lag_10,0.010383254344295092
SMA_5,0.010038000563938634
EMA_12,0.00978706497745039
Rolling_Mean_10,0.009686535111397932
BB_Middle,0.00965905644486012
Rolling_Mean_20,0.009534061176398165
Close_Lag_2,0.009417086660094031
SMA_20,0.009399558088804369
Rolling_Mean_5,0.009358079492363601
Close_Lag_5,0.00935360940279938
Low,0.00934777415817412
EMA_26,0.009157535120932961
Close,0.00849939163686671
Open,0.008253266993433548
Close_Lag_3,0.00810993303502147
Close_Lag_1,0.00782115283861269
Rolling_Max_5,0.007668222992930736
High,0.007038010513896163
Rolling_Min_5,0.006949192303561106
Rolling_Max_20,0.006380528604704797
Rolling_Min_10,0.006273640248676722
Rolling_Max_10,0.005904779015084389
Rolling_Min_20,0.005735775429358951
BB_Squeeze,0.0018848889350806918
RSI_Overbought,0.0010556097350973256
RSI_Oversold,0.0008078214413093299
Dividends,0.0
Stock Splits,0.0
