Feature,Importance
USD_TRY_Lag_1M,0.03395082
Rolling_Mean_5,0.028808163
Rolling_Std_20,0.028587991
Price_Position,0.022964213
Rolling_Min_5,0.021163631
Rolling_Max_10,0.02048083
Rolling_Min_10,0.019906215
Close_Lag_3,0.018464496
ATR_14,0.01735697
Close_Lag_2,0.016948758
BB_Upper,0.01632239
Volume_Ratio,0.01569916
Rolling_Max_20,0.015607094
EMA_50,0.015601933
USD_TRY,0.015416503
ATR_21,0.015389669
Close_Lag_1,0.015240766
BB_Width,0.015230011
True_Range,0.015037665
Momentum_10,0.014967574
BB_Middle,0.0149219725
Price_Change_Pct,0.014918867
Close_Lag_5,0.014878856
Rolling_Std_5,0.014874853
Return_Lag_5,0.0148516
EMA_12,0.014819072
Return_Lag_1,0.014785053
Rolling_Std_10,0.014720124
SMA_5,0.0144323725
Volume_SMA_20,0.014387163
EMA_Cross,0.01434162
Rolling_Mean_10,0.014266225
MACD_Histogram,0.014182835
MACD,0.014059014
Return_Lag_3,0.013976588
Momentum_20,0.013900108
Volume_Change,0.013861221
Rolling_Min_20,0.013799382
BB_Position,0.013725882
SMA_50,0.013707703
High_Low,0.013636118
BB_Lower,0.013620221
Price_Volume_Trend,0.013517297
Low_Close,0.01346369
High_Close,0.013425865
High_Low_Pct,0.013420465
Open_Close_Pct,0.013420262
Momentum_5,0.013227537
RSI,0.013063465
Return_Lag_10,0.012746656
Close_Lag_10,0.012562619
Price_Change,0.012540315
SMA_200,0.0123384055
Return_Lag_2,0.012047426
SMA_Cross_5_20,0.011944112
SMA_Cross_20_50,0.011918699
MACD_Signal,0.011663711
Volume,0.011446461
SMA_10,0.011086181
BB_Squeeze,0.010930097
Low,0.010705459
Close,0.010262602
SMA_20,0.010095744
USD_TRY_Volatility,0.00934803
USD_TRY_Change,0.008702298
Rolling_Max_5,0.00800664
EMA_26,0.005599327
High,0.005381388
Open,0.0050375652
Stock Splits,0.0042860224
Dividends,0.0
RSI_Overbought,0.0
RSI_Oversold,0.0
Rolling_Mean_20,0.0
USD_TRY_Lag_3M,0.0
