Feature,Importance
Rolling_Std_20,0.036124833
Rolling_Mean_5,0.02727182
Price_Position,0.025873352
RSI_Overbought,0.019432917
Close_Lag_2,0.019419016
Rolling_Min_5,0.018246053
Rolling_Max_20,0.018129285
EMA_12,0.01801077
Rolling_Min_20,0.018003844
Rolling_Mean_10,0.017737918
Rolling_Max_10,0.017478375
Close_Lag_3,0.017406331
ATR_14,0.016927721
Rolling_Max_5,0.016563917
Rolling_Min_10,0.016362375
BB_Width,0.01635589
Close_Lag_5,0.016189706
SMA_200,0.016119296
SMA_50,0.015895534
True_Range,0.015679855
EMA_50,0.015325209
High_Low,0.015207293
BB_Lower,0.015136439
BB_Upper,0.014831
Price_Change,0.014783409
EMA_26,0.014770539
RSI,0.014589117
Volume,0.0145425955
Rolling_Std_5,0.014541543
Volume_Ratio,0.014492856
High,0.014233987
Volume_SMA_20,0.014106639
Momentum_10,0.013988903
Close_Lag_10,0.013911217
Momentum_5,0.013883599
BB_Position,0.013796182
Volume_Change,0.013749618
Return_Lag_3,0.013734501
Rolling_Std_10,0.013732737
Open_Close_Pct,0.013588497
Return_Lag_5,0.013587826
High_Low_Pct,0.013584401
SMA_Cross_5_20,0.013548427
Low_Close,0.013424985
ATR_21,0.013370264
Momentum_20,0.013300502
Close_Lag_1,0.013252045
EMA_Cross,0.013191926
Return_Lag_1,0.012955693
MACD_Signal,0.012952787
Return_Lag_2,0.012932004
SMA_Cross_20_50,0.012918548
Price_Volume_Trend,0.012873858
Price_Change_Pct,0.01277572
Return_Lag_10,0.012774521
SMA_5,0.012494663
Close,0.012458537
Low,0.012277795
High_Close,0.011797411
MACD_Histogram,0.011652207
BB_Middle,0.011487256
SMA_20,0.011389817
BB_Squeeze,0.011168721
MACD,0.010581614
Open,0.010287197
SMA_10,0.009936778
RSI_Oversold,0.0068497877
Dividends,0.0
Stock Splits,0.0
Rolling_Mean_20,0.0
